,network,id,createdAt,molochAddress,memberAddress,shares,loot
87,mainnet,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0xf053adb5d6310219f84b5792db23a4fed3c25d57-rage-11094239,1603213365,0x0372f3696fa7dc99801f435fd6737e57818239f2,0xf053adb5d6310219f84b5792db23a4fed3c25d57,10,0
88,mainnet,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0xf6f4bbf25a1e596df0d77179dd65cf6f78cb7377-rage-8336281,1565620669,0x0372f3696fa7dc99801f435fd6737e57818239f2,0xf6f4bbf25a1e596df0d77179dd65cf6f78cb7377,15,0
89,mainnet,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0xf6f4bbf25a1e596df0d77179dd65cf6f78cb7377-rage-8664762,1570044565,0x0372f3696fa7dc99801f435fd6737e57818239f2,0xf6f4bbf25a1e596df0d77179dd65cf6f78cb7377,28,0
90,mainnet,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0xf7f189082878846c11a94ddac51c41afc7a7c772-rage-11029104,1602351926,0x0372f3696fa7dc99801f435fd6737e57818239f2,0xf7f189082878846c11a94ddac51c41afc7a7c772,9,0
91,mainnet,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0xfab3b4be0a78c586cdb999258ddd7dc799d433d2-rage-8702412,1570552636,0x0372f3696fa7dc99801f435fd6737e57818239f2,0xfab3b4be0a78c586cdb999258ddd7dc799d433d2,8,0
92,mainnet,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0xffd1ac3e8818adcbe5c597ea076e8d3210b45df5-rage-8452839,1567185478,0x0372f3696fa7dc99801f435fd6737e57818239f2,0xffd1ac3e8818adcbe5c597ea076e8d3210b45df5,10,0
93,mainnet,0x161e99f7467f20602c7ff9ff85f22be1ecc41b86-member-0x187dad1e0dd5e599091c2ec88e89afb4cde4b7a3-rage-11665442,1610789140,0x161e99f7467f20602c7ff9ff85f22be1ecc41b86,0x187dad1e0dd5e599091c2ec88e89afb4cde4b7a3,1,0
94,mainnet,0x161e99f7467f20602c7ff9ff85f22be1ecc41b86-member-0xa6f567eb31239ba3cea26b6ff6ee934fa250a6ef-rage-11589957,1609789459,0x161e99f7467f20602c7ff9ff85f22be1ecc41b86,0xa6f567eb31239ba3cea26b6ff6ee934fa250a6ef,0,0
95,mainnet,0x161e99f7467f20602c7ff9ff85f22be1ecc41b86-member-0xdc546f477f273bcf327297bf4adcb671b5f20be1-rage-11601392,1609941086,0x161e99f7467f20602c7ff9ff85f22be1ecc41b86,0xdc546f477f273bcf327297bf4adcb671b5f20be1,1,0
96,mainnet,0x1b3d7efb93ec432b0d1d56880c23303979b379e9-member-0x60775dcc868ece33b6ac45a1dd5d448aea3b7a71-rage-12018828,1615486442,0x1b3d7efb93ec432b0d1d56880c23303979b379e9,0x60775dcc868ece33b6ac45a1dd5d448aea3b7a71,1000000000000,0
97,mainnet,0x1b3d7efb93ec432b0d1d56880c23303979b379e9-member-0xb8ff821e6a8750c97d081c695dd568681be6ec34-rage-10193998,1591203007,0x1b3d7efb93ec432b0d1d56880c23303979b379e9,0xb8ff821e6a8750c97d081c695dd568681be6ec34,10,0
98,mainnet,0x1ba850cb53280d7f9987be283ff462038ec8abe2-member-0x10fa00823d930bd4ab3592cded68d830da652d22-rage-12042426,1615801336,0x1ba850cb53280d7f9987be283ff462038ec8abe2,0x10fa00823d930bd4ab3592cded68d830da652d22,250,0
99,mainnet,0x1ba850cb53280d7f9987be283ff462038ec8abe2-member-0xcea5e66bec5193e5ec0b049a3fe5d7dd896fd480-rage-11307209,1606037651,0x1ba850cb53280d7f9987be283ff462038ec8abe2,0xcea5e66bec5193e5ec0b049a3fe5d7dd896fd480,1000,0
